chestcircumference,biacromialbreadth,weightkg,stature,t-shirt size
962,391,661,1682,S
1026,418,839,1748,M
1285,453,1371,1895,3XL
952,385,647,1699,S
1062,411,827,1763,L
1058,413,903,1790,L
1165,440,1057,1799,XL
1048,417,860,1716,M
1108,410,882,1641,L
1289,465,1225,1890,3XL
991,402,723,1653,M
1072,421,786,1683,L
1117,425,982,1797,XL
1119,415,940,1744,L
1084,422,1041,1863,L
990,400,705,1709,S
978,397,670,1692,S
1128,437,1073,1809,XL
887,380,599,1710,XS
1074,430,859,1746,L
1114,431,971,1798,XL
925,402,721,1772,S
993,383,689,1728,S
1069,425,882,1870,L
1140,437,905,1649,XL
1054,406,848,1745,M
1038,420,848,1734,M
938,400,847,1919,S
1078,427,977,1742,L
936,405,585,1686,S
1194,445,1144,1890,2XL
1127,428,975,1751,XL
1237,455,1106,1882,3XL
1082,420,1011,1940,L
978,404,791,1788,S
1241,457,1273,1774,3XL
1079,417,768,1713,L
1042,409,837,1767,M
959,383,653,1702,S
1327,463,1235,1797,3XL
1114,427,1012,1862,XL
1000,403,775,1767,M
1088,416,958,1748,L
1090,427,973,1798,L
1108,423,895,1792,L
922,381,640,1741,S
1031,408,745,1679,M
1095,426,823,1803,L
935,407,582,1707,S
1169,427,1026,1807,XL
1146,436,958,1743,XL
1032,416,824,1838,M
942,394,682,1720,S
1037,409,860,1844,M
933,398,645,1693,S
987,391,743,1674,S
1057,430,889,1827,L
986,395,773,1696,S
1136,437,1005,1836,XL
926,395,650,1767,S
981,387,592,1572,S
1224,444,1186,1878,2XL
886,388,613,1730,XS
1065,412,832,1722,L
1126,438,895,1710,XL
988,408,704,1720,S
1064,417,836,1765,L
985,408,775,1793,S
1128,425,851,1725,XL
1008,414,817,1783,M
1141,423,922,1832,XL
1094,419,883,1774,L
1100,433,918,1810,L
968,402,698,1756,S
993,395,828,1713,S
1092,418,997,1769,L
1056,418,856,1802,L
922,399,634,1753,S
1064,422,903,1828,L
958,386,763,1763,S
939,394,753,1776,S
918,392,583,1657,S
1112,422,919,1758,L
1005,414,813,1812,M
930,397,634,1737,S
1000,391,821,1755,S
866,364,565,1662,XS
1124,423,945,1725,XL
1012,409,816,1792,M
1021,410,875,1828,M
1061,416,900,1840,L
1070,433,910,1828,L
1280,482,1258,1871,3XL
994,409,729,1763,M
1108,415,864,1687,L
1029,398,765,1728,M
1046,400,795,1659,M
988,382,737,1690,S
1148,433,1110,1796,XL
1011,407,812,1729,M
973,405,695,1735,S
1249,451,1189,1844,3XL
1162,437,1251,1890,XL
856,376,600,1689,XS
1102,431,1012,1822,L
1108,415,1044,1773,L
978,405,771,1708,S
1056,416,921,1784,L
1119,423,761,1754,XL
1172,436,1052,1830,2XL
1062,413,844,1733,L
1076,432,931,1847,L
1025,409,846,1721,M
946,396,756,1763,S
1034,406,892,1793,M
1141,423,983,1875,XL
964,400,665,1687,S
1202,437,1160,1827,2XL
918,404,699,1733,S
973,399,768,1722,S
1118,410,882,1758,L
1115,421,919,1717,L
1122,419,902,1735,L
1107,412,1046,1794,L
989,380,639,1568,S
995,407,752,1723,M
1023,407,830,1830,M
1108,410,822,1760,L
980,402,737,1714,S
1093,410,927,1710,L
1057,404,890,1731,M
914,387,616,1638,XS
1146,429,990,1818,XL
1031,407,805,1742,M
968,381,691,1700,S
1074,425,842,1722,L
913,388,585,1649,XS
1081,427,871,1731,L
1158,439,1026,1773,XL
1086,417,940,1763,L
1147,430,1000,1838,XL
1020,406,867,1780,M
932,397,705,1604,S
975,402,707,1732,S
1098,415,859,1688,L
952,400,643,1710,S
879,383,623,1792,XS
1059,430,851,1825,L
999,413,812,1808,M
939,403,737,1754,S
1016,417,816,1742,M
959,394,627,1585,S
957,404,675,1738,S
1002,402,802,1733,M
1059,423,852,1820,L
1074,413,883,1741,L
1213,445,1268,1902,2XL
910,380,631,1680,XS
1202,438,1162,1801,2XL
995,393,743,1689,S
1056,412,866,1845,L
1050,420,728,1638,M
1017,402,780,1663,M
1071,432,836,1807,L
1094,425,1006,1746,L
984,395,731,1646,S
1078,430,947,1757,L
1106,417,882,1703,L
1084,419,904,1745,L
953,390,724,1814,S
937,405,659,1642,S
1144,430,996,1875,XL
925,393,734,1761,S
926,399,621,1726,S
998,394,766,1660,S
1016,418,693,1598,M
1008,409,781,1760,M
1250,467,1028,1760,3XL
1072,410,822,1750,L
1122,420,932,1742,L
1269,459,1260,1803,3XL
1067,416,901,1830,L
1035,409,798,1716,M
1096,410,873,1820,L
1122,428,894,1753,XL
1162,441,1052,1784,XL
1006,400,847,1758,M
1051,412,744,1659,L
1166,438,1050,1885,XL
957,394,662,1634,S
1374,453,1307,1763,3XL
1117,429,953,1775,XL
917,398,781,1823,S
1031,413,835,1759,M
919,363,646,1720,XS
1098,418,858,1716,L
1000,412,742,1741,M
